/home/gena/Develop/comp_vision/dnn/openvino_dev//devices_detection/truck_learning/train_after_xmlbin/one_iter/export/cpp/model_beforeMO.xml
[ WARNING ] Automatically detected layout '[N,C,H,W]' for input 'image' will be used.

OPS_NAME

reconvert.cpp#251: nodes number=987,ordered=987
reconvert.cpp#255: friendly_name = image, ops_name = Parameter_5464
reconvert.cpp#255: friendly_name = saliency_map/sink_port_0, ops_name = Result_2685
reconvert.cpp#255: friendly_name = saliency_map, ops_name = Convert_2683
reconvert.cpp#255: friendly_name = Div_810, ops_name = Divide_2681
reconvert.cpp#255: friendly_name = Add_809, ops_name = Add_2679
reconvert.cpp#255: friendly_name = 1265, ops_name = Constant_2677
reconvert.cpp#255: friendly_name = Sub_807, ops_name = Subtract_2675
reconvert.cpp#255: friendly_name = ReduceMin_806, ops_name = ReduceMin_2673
reconvert.cpp#255: friendly_name = Constant_6691, ops_name = Constant_2671
reconvert.cpp#255: friendly_name = Sigmoid_800, ops_name = Sigmoid_2655
reconvert.cpp#255: friendly_name = ReduceMean_799, ops_name = ReduceMean_2653
reconvert.cpp#255: friendly_name = Constant_6682, ops_name = Constant_2651
reconvert.cpp#255: friendly_name = Conv_172, ops_name = Add_1411
reconvert.cpp#255: friendly_name = Reshape_4175, ops_name = Constant_1409
reconvert.cpp#255: friendly_name = Conv_172/WithoutBiases, ops_name = Convolution_1407
reconvert.cpp#255: friendly_name = 1423, ops_name = Constant_1405
reconvert.cpp#255: friendly_name = Clip_171, ops_name = Clamp_1403
reconvert.cpp#255: friendly_name = Conv_168, ops_name = Add_1401
reconvert.cpp#255: friendly_name = Reshape_4125, ops_name = Constant_1399
reconvert.cpp#255: friendly_name = Conv_168/WithoutBiases, ops_name = GroupConvolution_1397
reconvert.cpp#255: friendly_name = Reshape_4039, ops_name = Constant_1395
reconvert.cpp#255: friendly_name = Clip_167, ops_name = Clamp_1393
reconvert.cpp#255: friendly_name = Conv_164, ops_name = Add_1391
reconvert.cpp#255: friendly_name = Reshape_4002, ops_name = Constant_1389
reconvert.cpp#255: friendly_name = Conv_164/WithoutBiases, ops_name = Convolution_1387
reconvert.cpp#255: friendly_name = 1417, ops_name = Constant_1385
reconvert.cpp#255: friendly_name = Add_163, ops_name = Add_1383
reconvert.cpp#255: friendly_name = Add_153, ops_name = Add_1353
reconvert.cpp#255: friendly_name = Conv_143, ops_name = Add_1323
reconvert.cpp#255: friendly_name = Reshape_3510, ops_name = Constant_1321
reconvert.cpp#255: friendly_name = Conv_143/WithoutBiases, ops_name = Convolution_1319
